decision_date,apply_month,close,mom_fast,mom_slow,prev_month_return,realized_vol,base_leverage,target_leverage,crash_triggered,cooldown_before,cooldown_after,signal,allocation
1995-01-31,1995-02-28,755.200000,,,0.000000,,2.000000,2.000000,False,0,0,False,bond2x_pos
1995-02-28,1995-03-31,793.730000,,,0.051020,,2.000000,2.000000,False,0,0,False,bond2x_pos
1995-03-31,1995-04-28,817.210000,,,0.029582,0.025000,4.500000,4.500000,False,0,0,False,bond2x_pos
1995-04-28,1995-05-31,843.980000,,,0.032758,0.025000,4.500000,4.500000,False,0,0,False,bond2x_pos
1995-05-31,1995-06-30,864.580000,,,0.024408,0.025000,4.500000,4.500000,False,0,0,False,bond2x_pos
1995-06-30,1995-07-31,933.450000,,,0.079657,0.039067,3.839562,3.839562,False,0,0,False,bond2x_pos
1995-07-31,1995-08-31,1001.210000,,,0.072591,0.025000,4.500000,4.500000,False,0,0,False,bond2x_pos
1995-08-31,1995-09-29,1020.110000,,,0.018877,0.037981,3.949305,3.949305,False,0,0,False,bond2x_pos
1995-09-29,1995-10-31,1043.540000,,,0.022968,0.025000,4.500000,4.500000,False,0,0,False,bond2x_pos
1995-10-31,1995-11-30,1036.060000,,,-0.007168,0.025000,4.500000,4.500000,False,0,0,False,bond2x_pos
1995-11-30,1995-12-29,1059.200000,,,0.022335,0.025000,4.500000,4.500000,False,0,0,False,bond2x_pos
1995-12-29,1996-01-31,1052.130000,,,-0.006675,0.025000,4.500000,4.500000,False,0,0,False,cash
1996-01-31,1996-02-29,1059.790000,,,0.007280,0.025000,4.500000,4.500000,False,0,0,False,cash
1996-02-29,1996-03-29,1100.050000,0.456634,0.456634,0.037989,0.025000,4.500000,4.500000,False,0,0,True,ixic
1996-03-29,1996-04-30,1101.400000,0.387626,0.387626,0.001227,0.025994,4.500000,4.500000,False,0,0,True,ixic
1996-04-30,1996-05-31,1190.520000,0.456810,0.456810,0.080915,0.056348,2.662033,2.662033,False,0,0,True,ixic
1996-05-31,1996-06-28,1243.430000,0.473293,0.473293,0.044443,0.025790,4.500000,4.500000,False,0,0,True,ixic
1996-06-28,1996-07-31,1185.020000,0.370631,0.370631,-0.046975,0.064642,2.320471,2.320471,False,0,0,True,ixic
1996-07-31,1996-08-30,1080.590000,0.157630,0.157630,-0.088125,0.029098,4.500000,4.500000,False,0,0,True,ixic
1996-08-30,1996-09-30,1141.500000,0.140120,0.140120,0.056367,0.102172,2.000000,2.000000,False,0,0,True,ixic
1996-09-30,1996-10-31,1226.920000,0.202733,0.202733,0.074831,0.025000,4.500000,4.500000,False,0,0,True,ixic
1996-10-31,1996-11-29,1221.510000,0.170544,0.170544,-0.004409,0.056032,2.677056,2.677056,False,0,0,True,ixic
1996-11-29,1996-12-31,1292.610000,0.247621,0.247621,0.058207,0.044276,3.387821,3.387821,False,0,0,True,ixic
1996-12-31,1997-01-31,1291.030000,0.218873,0.218873,-0.001222,0.042023,3.569505,3.569505,False,0,0,True,ixic
1997-01-31,1997-02-28,1379.850000,0.311482,0.311482,0.068798,0.049512,3.029587,3.029587,False,0,0,True,ixic
1997-02-28,1997-03-31,1309.000000,0.235150,0.235150,-0.051346,0.084955,2.000000,2.000000,False,0,0,True,ixic
1997-03-31,1997-04-30,1221.700000,0.110586,0.110586,-0.066692,0.025000,4.500000,4.500000,False,0,0,True,ixic
1997-04-30,1997-05-30,1260.760000,0.144689,0.144689,0.031972,0.069766,2.150046,2.150046,False,0,0,True,ixic
1997-05-30,1997-06-30,1400.320000,0.176226,0.176226,0.110695,0.055666,2.694654,2.694654,False,0,0,True,ixic
1997-06-30,1997-07-31,1442.070000,0.159752,0.159752,0.029815,0.057191,2.622783,2.622783,False,0,0,True,ixic
1997-07-31,1997-08-29,1593.810000,0.344965,0.344965,0.105224,0.053322,2.813082,2.813082,False,0,0,True,ixic
1997-08-29,1997-09-30,1587.320000,0.468938,0.468938,-0.004072,0.077284,2.000000,2.000000,False,0,0,True,ixic
1997-09-30,1997-10-31,1685.690000,0.476732,0.476732,0.061972,0.046700,3.211962,3.211962,False,0,0,True,ixic
1997-10-31,1997-11-28,1593.610000,0.298870,0.298870,-0.054625,0.082446,2.000000,2.000000,False,0,0,True,ixic
1997-11-28,1997-12-31,1600.550000,0.310304,0.310304,0.004355,0.041705,3.596714,3.596714,False,0,0,True,ixic
1997-12-31,1998-01-30,1570.350000,0.214868,0.214868,-0.018869,0.025000,4.500000,4.500000,False,0,0,True,ixic
1998-01-30,1998-02-27,1619.360000,0.254316,0.254316,0.031210,0.035411,4.236023,4.236023,False,0,0,True,ixic
1998-02-27,1998-03-31,1770.510000,0.283118,0.283118,0.093339,0.043932,3.414340,3.414340,False,0,0,True,ixic
1998-03-31,1998-04-30,1835.680000,0.402353,0.402353,0.036809,0.039973,3.752508,3.752508,False,0,0,True,ixic
1998-04-30,1998-05-29,1868.410000,0.529353,0.529353,0.017830,0.025000,4.500000,4.500000,False,0,0,True,ixic
1998-05-29,1998-06-30,1778.870000,0.410951,0.410951,-0.047923,0.046494,3.226195,3.226195,False,0,0,True,ixic
1998-06-30,1998-07-31,1894.740000,0.353076,0.353076,0.065137,0.079945,2.000000,2.000000,False,0,0,True,ixic
1998-07-31,1998-08-31,1872.390000,0.298404,0.298404,-0.011796,0.054400,2.757373,2.757373,False,0,0,True,ixic
1998-08-31,1998-09-30,1499.250000,-0.059330,-0.059330,-0.199285,0.132575,2.000000,2.000000,True,0,1,False,bond2x_pos
1998-09-30,1998-10-30,1693.840000,0.067107,0.067107,0.129792,0.232693,2.000000,2.000000,False,1,0,False,bond2x_pos
1998-10-30,1998-11-30,1771.390000,0.050840,0.050840,0.045784,0.059403,2.525140,2.525140,False,0,0,True,ixic
1998-11-30,1998-12-31,1949.540000,0.223348,0.223348,0.100571,0.038740,3.871927,3.871927,False,0,0,True,ixic
1998-12-31,1999-01-29,2192.690000,0.369960,0.369960,0.124722,0.025000,4.500000,4.500000,False,0,0,True,ixic
1999-01-29,1999-02-26,2505.890000,0.595753,0.595753,0.142838,0.025000,4.500000,4.500000,False,0,0,True,ixic
1999-02-26,1999-03-31,2288.030000,0.412922,0.412922,-0.086939,0.162477,2.000000,2.000000,False,0,0,True,ixic
1999-03-31,1999-04-30,2461.400000,0.390221,0.390221,0.075773,0.115055,2.000000,2.000000,False,0,0,True,ixic
1999-04-30,1999-05-28,2542.860000,0.385241,0.385241,0.033095,0.030178,4.500000,4.500000,False,0,0,True,ixic
1999-05-28,1999-06-30,2470.520000,0.322258,0.322258,-0.028448,0.043518,3.446876,3.446876,False,0,0,True,ixic
1999-06-30,1999-07-30,2686.120000,0.510015,0.510015,0.087269,0.081825,2.000000,2.000000,False,0,0,True,ixic
1999-07-30,1999-08-31,2638.490000,0.392534,0.392534,-0.017732,0.074247,2.020286,2.020286,False,0,0,True,ixic
1999-08-31,1999-09-30,2739.350000,0.463023,0.463023,0.038226,0.039568,3.790895,3.790895,False,0,0,True,ixic
1999-09-30,1999-10-29,2746.160000,0.831689,0.831689,0.002486,0.025272,4.500000,4.500000,False,0,0,True,ixic
1999-10-29,1999-11-30,2966.430000,0.751305,0.751305,0.080210,0.054959,2.729292,2.729292,False,0,0,True,ixic
1999-11-30,1999-12-31,3336.160000,0.883357,0.883357,0.124638,0.031415,4.500000,4.500000,False,0,0,True,ixic
1999-12-31,2000-01-31,4069.310000,1.087318,1.087318,0.219759,0.067260,2.230137,2.230137,False,0,0,True,ixic
2000-01-31,2000-02-29,3940.350000,0.797039,0.797039,-0.031691,0.177802,2.000000,2.000000,False,0,0,True,ixic
2000-02-29,2000-03-31,4696.690000,0.874260,0.874260,0.191947,0.158136,2.000000,2.000000,False,0,0,True,ixic
2000-03-31,2000-04-28,4572.830000,0.998588,0.998588,-0.026372,0.154375,2.000000,2.000000,False,0,0,True,ixic
2000-04-28,2000-05-31,3860.660000,0.568481,0.568481,-0.155739,0.091477,2.000000,2.000000,True,0,1,False,bond2x_pos
2000-05-31,2000-06-30,3400.910000,0.337435,0.337435,-0.119086,0.025918,4.500000,4.500000,True,1,1,False,bond2x_pos
2000-06-30,2000-07-31,3966.110000,0.605375,0.605375,0.166191,0.201721,2.000000,2.000000,False,1,0,False,bond2x_pos
2000-07-31,2000-08-31,3766.990000,0.402391,0.402391,-0.050205,0.153015,2.000000,2.000000,False,0,0,True,ixic
2000-08-31,2000-09-29,4206.350000,0.594226,0.594226,0.116634,0.117973,2.000000,2.000000,False,0,0,True,ixic
2000-09-29,2000-10-31,3672.820000,0.340763,0.340763,-0.126839,0.172162,2.000000,2.000000,True,0,1,False,bond2x_pos
2000-10-31,2000-11-30,3369.630000,0.227033,0.227033,-0.082550,0.031317,4.500000,4.500000,False,1,0,False,bond2x_pos
2000-11-30,2000-12-29,2597.930000,-0.124223,-0.124223,-0.229016,0.103568,2.000000,2.000000,True,0,1,False,bond2x_pos
2000-12-29,2001-01-31,2470.520000,-0.259472,-0.259472,-0.049043,0.127260,2.000000,2.000000,False,1,0,False,bond2x_pos
2001-01-31,2001-02-28,2772.730000,-0.318624,-0.318624,0.122326,0.121176,2.000000,2.000000,False,0,0,False,bond2x_pos
2001-02-28,2001-03-30,2151.830000,-0.453899,-0.453899,-0.223931,0.244841,2.000000,2.000000,True,0,1,False,bond2x_pos
