decision_date,apply_month,momentum,realized_vol,current_drawdown,regime,target_vol,target_leverage,signal,allocation
1995-01-31,1995-02-28,,,0.000000,normal,0.140000,1.500000,False,bond2x_pos
1995-02-28,1995-03-31,,,0.000000,normal,0.140000,1.500000,False,bond2x_pos
1995-03-31,1995-04-28,,0.025000,0.000000,normal,0.140000,5.000000,False,bond2x_pos
1995-04-28,1995-05-31,,0.025000,0.000000,normal,0.140000,5.000000,False,bond2x_pos
1995-05-31,1995-06-30,,0.025000,0.000000,normal,0.140000,5.000000,False,bond2x_pos
1995-06-30,1995-07-31,,0.039067,0.000000,normal,0.140000,3.583592,False,bond2x_pos
1995-07-31,1995-08-31,,0.025000,0.000000,normal,0.140000,5.000000,False,bond2x_pos
1995-08-31,1995-09-29,,0.037981,0.000000,normal,0.140000,3.686018,False,bond2x_pos
1995-09-29,1995-10-31,,0.025000,0.000000,normal,0.140000,5.000000,False,bond2x_pos
1995-10-31,1995-11-30,,0.025000,0.000000,normal,0.140000,5.000000,False,bond2x_pos
1995-11-30,1995-12-29,,0.025000,0.000000,normal,0.140000,5.000000,False,bond2x_pos
1995-12-29,1996-01-31,,0.025000,0.000000,normal,0.140000,5.000000,False,cash
1996-01-31,1996-02-29,,0.025000,0.000000,normal,0.140000,5.000000,False,cash
1996-02-29,1996-03-29,0.456634,0.025000,0.000000,attack,0.200000,5.000000,True,ixic
1996-03-29,1996-04-30,0.387626,0.025994,-0.001364,attack,0.200000,5.000000,True,ixic
1996-04-30,1996-05-31,0.456810,0.056348,0.000000,attack,0.200000,3.549377,True,ixic
1996-05-31,1996-06-28,0.473293,0.025790,0.000000,attack,0.200000,5.000000,True,ixic
1996-06-28,1996-07-31,0.370631,0.064642,-0.242375,defense,0.080000,1.500000,True,ixic
1996-07-31,1996-08-30,0.157630,0.029098,-0.344228,defense,0.080000,2.749369,True,ixic
1996-08-30,1996-09-30,0.140120,0.102172,-0.245304,defense,0.080000,1.500000,True,ixic
1996-09-30,1996-10-31,0.202733,0.025000,-0.162290,defense,0.080000,3.200000,True,ixic
1996-10-31,1996-11-29,0.170544,0.056032,-0.178131,defense,0.080000,1.500000,True,ixic
1996-11-29,1996-12-31,0.247621,0.044276,-0.108223,attack,0.200000,4.517095,True,ixic
1996-12-31,1997-01-31,0.218873,0.042023,-0.119189,attack,0.200000,4.759340,True,ixic
1997-01-31,1997-02-28,0.311482,0.049512,0.000000,attack,0.200000,4.039449,True,ixic
1997-02-28,1997-03-31,0.235150,0.084955,-0.213469,defense,0.080000,1.500000,True,ixic
1997-03-31,1997-04-30,0.110586,0.025000,-0.293922,defense,0.080000,3.200000,True,ixic
1997-04-30,1997-05-30,0.144689,0.069766,-0.225073,defense,0.080000,1.500000,True,ixic
1997-05-30,1997-06-30,0.176226,0.055666,-0.098145,normal,0.140000,2.515010,True,ixic
1997-06-30,1997-07-31,0.159752,0.057191,-0.033923,normal,0.140000,2.447931,True,ixic
1997-07-31,1997-08-29,0.344965,0.053322,0.000000,attack,0.200000,3.750776,True,ixic
1997-08-29,1997-09-30,0.468938,0.077284,-0.020899,normal,0.140000,1.811506,True,ixic
1997-09-30,1997-10-31,0.476732,0.046700,0.000000,attack,0.200000,4.282616,True,ixic
1997-10-31,1997-11-28,0.298870,0.082446,-0.240360,defense,0.080000,1.500000,True,ixic
1997-11-28,1997-12-31,0.310304,0.041705,-0.237107,defense,0.080000,1.918247,True,ixic
1997-12-31,1998-01-30,0.214868,0.025000,-0.266914,defense,0.080000,3.200000,True,ixic
1998-01-30,1998-02-27,0.254316,0.035411,-0.197219,defense,0.080000,2.259212,True,ixic
1998-02-27,1998-03-31,0.283118,0.043932,-0.030655,attack,0.200000,4.552453,True,ixic
1998-03-31,1998-04-30,0.402353,0.039973,0.000000,attack,0.200000,5.000000,True,ixic
1998-04-30,1998-05-29,0.529353,0.025000,0.000000,attack,0.200000,5.000000,True,ixic
1998-05-29,1998-06-30,0.410951,0.046494,-0.247116,defense,0.080000,1.720637,True,ixic
1998-06-30,1998-07-31,0.353076,0.079945,-0.164678,defense,0.080000,1.500000,True,ixic
1998-07-31,1998-08-31,0.298404,0.054400,-0.181337,defense,0.080000,1.500000,True,ixic
1998-08-31,1998-09-30,-0.059330,0.132575,-0.427900,defense,0.080000,1.500000,False,bond2x_pos
1998-09-30,1998-10-30,0.067107,0.232693,-0.415911,defense,0.080000,1.500000,False,bond2x_pos
1998-10-30,1998-11-30,0.050840,0.059403,-0.403669,defense,0.080000,1.500000,True,ixic
1998-11-30,1998-12-31,0.223348,0.038740,-0.315051,defense,0.080000,2.065028,True,ixic
1998-12-31,1999-01-29,0.369960,0.025000,-0.140761,attack,0.200000,5.000000,True,ixic
1999-01-29,1999-02-26,0.595753,0.025000,0.000000,attack,0.200000,5.000000,True,ixic
1999-02-26,1999-03-31,0.412922,0.162477,-0.442196,defense,0.080000,1.500000,True,ixic
1999-03-31,1999-04-30,0.390221,0.115055,-0.380052,defense,0.080000,1.500000,True,ixic
1999-04-30,1999-05-28,0.385241,0.030178,-0.350671,defense,0.080000,2.650970,True,ixic
1999-05-28,1999-06-30,0.322258,0.043518,-0.402222,defense,0.080000,1.838334,True,ixic
1999-06-30,1999-07-30,0.510015,0.081825,-0.307969,defense,0.080000,1.500000,True,ixic
1999-07-30,1999-08-31,0.392534,0.074247,-0.327933,defense,0.080000,1.500000,True,ixic
1999-08-31,1999-09-30,0.463023,0.039568,-0.290909,defense,0.080000,2.021810,True,ixic
1999-09-30,1999-10-29,0.831689,0.025272,-0.289495,defense,0.080000,3.165522,True,ixic
1999-10-29,1999-11-30,0.751305,0.054959,-0.112467,attack,0.200000,3.639056,True,ixic
1999-11-30,1999-12-31,0.883357,0.031415,0.000000,attack,0.200000,5.000000,True,ixic
1999-12-31,2000-01-31,1.087318,0.067260,0.000000,normal,0.140000,2.081462,True,ixic
2000-01-31,2000-02-29,0.797039,0.177802,-0.069086,normal,0.140000,1.500000,True,ixic
2000-02-29,2000-03-31,0.874260,0.158136,0.000000,normal,0.140000,1.500000,True,ixic
